Date,Price,,
02/01/2019 ,6504.1,,
03/01/2019 ,6385.6,,
04/01/2019 ,6240.7,,
05/01/2019 ,6240.7,,
06/01/2019 ,6240.7,,
07/01/2019 ,6221,,
08/01/2019 ,6135.4,,
09/01/2019 ,6174.9,,
10/01/2019 ,6174.9,,
11/01/2019 ,6122.2,,
12/01/2019 ,6122.2,,
13/01/2019 ,6122.2,,
14/01/2019 ,5997.2,,
15/01/2019 ,5931.3,,
16/01/2019 ,6023.5,,
17/01/2019 ,6023.5,,
18/01/2019 ,6010.3,,
19/01/2019 ,6010.3,,
20/01/2019 ,6010.3,,
21/01/2019 ,5905,,
22/01/2019 ,5924.7,,
23/01/2019 ,5990.6,,
24/01/2019 ,5924.7,,
25/01/2019 ,5826,,
26/01/2019 ,5826,,
27/01/2019 ,5826,,
28/01/2019 ,5786.5,,
29/01/2019 ,5681.2,,
30/01/2019 ,5621.9,,
31/01/2019 ,5694.3,,
01/02/2019 ,5720.7,,
02/02/2019 ,5720.7,,
03/02/2019 ,5720.7,,
04/02/2019 ,5720.7,,
05/02/2019 ,5720.7,,
06/02/2019 ,5720.7,,
07/02/2019 ,5720.7,,
08/02/2019 ,5720.7,,
09/02/2019 ,5720.7,,
10/02/2019 ,5720.7,,
11/02/2019 ,5779.9,,
12/02/2019 ,5990.6,,
13/02/2019 ,6010.3,,
14/02/2019 ,5990.6,,
15/02/2019 ,5937.9,,
16/02/2019 ,5937.9,,
17/02/2019 ,5937.9,,
18/02/2019 ,6010.3,,
19/02/2019 ,6010.3,,
20/02/2019 ,6010.3,,
21/02/2019 ,5990.6,,
22/02/2019 ,6023.5,,
23/02/2019 ,6023.5,,
24/02/2019 ,6023.5,,
25/02/2019 ,6082.7,,
26/02/2019 ,6181.5,,
27/02/2019 ,6161.7,,
28/02/2019 ,6082.7,,
01/03/2019 ,6076.2,,
02/03/2019 ,6076.2,,
03/03/2019 ,6076.2,,
04/03/2019 ,6227.6,,
05/03/2019 ,6240.7,,
06/03/2019 ,6240.7,,
07/03/2019 ,6583,,
08/03/2019 ,6510.6,,
09/03/2019 ,6510.6,,
10/03/2019 ,6510.6,,
11/03/2019 ,6451.4,,
12/03/2019 ,6444.8,,
13/03/2019 ,6563.3,,
14/03/2019 ,6550.1,,
15/03/2019 ,6517.2,,
16/03/2019 ,6517.2,,
17/03/2019 ,6517.2,,
18/03/2019 ,6477.7,,
19/03/2019 ,6510.6,,
20/03/2019 ,6451.4,,
21/03/2019 ,6319.7,,
22/03/2019 ,6247.3,,
23/03/2019 ,6247.3,,
24/03/2019 ,6247.3,,
25/03/2019 ,6122.2,,
26/03/2019 ,6155.2,,
27/03/2019 ,6319.7,,
28/03/2019 ,6286.8,,
29/03/2019 ,6286.8,,
30/03/2019 ,6286.8,,
31/03/2019 ,6286.8,,
01/04/2019 ,6286.8,,
02/04/2019 ,6253.9,,
03/04/2019 ,6188.1,,
04/04/2019 ,6188.1,,
05/04/2019 ,6517.2,,
06/04/2019 ,6517.2,,
07/04/2019 ,6517.2,,
08/04/2019 ,6583,,
09/04/2019 ,6543.6,,
10/04/2019 ,6583,,
11/04/2019 ,6484.3,,
12/04/2019 ,6517.2,,
13/04/2019 ,6517.2,,
14/04/2019 ,6517.2,,
15/04/2019 ,6517.2,,
16/04/2019 ,6418.5,,
17/04/2019 ,6392.1,,
18/04/2019 ,6372.4,,
19/04/2019 ,6372.4,,
20/04/2019 ,6372.4,,
21/04/2019 ,6372.4,,
22/04/2019 ,6346.1,,
23/04/2019 ,6319.7,,
24/04/2019 ,6372.4,,
25/04/2019 ,6286.8,,
26/04/2019 ,6346.1,,
27/04/2019 ,6346.1,,
28/04/2019 ,6346.1,,
29/04/2019 ,6346.1,,
30/04/2019 ,6346.1,,
01/05/2019 ,6346.1,,
02/05/2019 ,6332.9,,
03/05/2019 ,6319.7,,
04/05/2019 ,6319.7,,
05/05/2019 ,6319.7,,
06/05/2019 ,6221,,
07/05/2019 ,6247.3,,
08/05/2019 ,6247.3,,
09/05/2019 ,6247.3,,
10/05/2019 ,6240.7,,
11/05/2019 ,6240.7,,
12/05/2019 ,6240.7,,
13/05/2019 ,6253.9,,
14/05/2019 ,6240.7,,
15/05/2019 ,6253.9,,
16/05/2019 ,6253.9,,
17/05/2019 ,6247.3,,
18/05/2019 ,6247.3,,
19/05/2019 ,6247.3,,
20/05/2019 ,6253.9,,
21/05/2019 ,6286.8,,
22/05/2019 ,6293.4,,
23/05/2019 ,6286.8,,
24/05/2019 ,6253.9,,
25/05/2019 ,6253.9,,
26/05/2019 ,6253.9,,
27/05/2019 ,6253.9,,
28/05/2019 ,6234.1,,
29/05/2019 ,6234.1,,
30/05/2019 ,6221,,
31/05/2019 ,6135.4,,
01/06/2019 ,6135.4,,
02/06/2019 ,6135.4,,
03/06/2019 ,6155.2,,
04/06/2019 ,6122.2,,
05/06/2019 ,6056.4,,
06/06/2019 ,6089.3,,
07/06/2019 ,6122.2,,
08/06/2019 ,6122.2,,
09/06/2019 ,6122.2,,
10/06/2019 ,6174.9,,
11/06/2019 ,6155.2,,
12/06/2019 ,6155.2,,
13/06/2019 ,6155.2,,
14/06/2019 ,6069.6,,
15/06/2019 ,6069.6,,
16/06/2019 ,6069.6,,
17/06/2019 ,6089.3,,
18/06/2019 ,6003.7,,
19/06/2019 ,6049.8,,
20/06/2019 ,6142,,
21/06/2019 ,6115.7,,
22/06/2019 ,6115.7,,
23/06/2019 ,6115.7,,
24/06/2019 ,6089.3,,
25/06/2019 ,6082.7,,
26/06/2019 ,6082.7,,
27/06/2019 ,6056.4,,
28/06/2019 ,6003.7,,
29/06/2019 ,6003.7,,
30/06/2019 ,6003.7,,
01/07/2019 ,6082.7,,
02/07/2019 ,6056.4,,
03/07/2019 ,6056.4,,
04/07/2019 ,6076.2,,
05/07/2019 ,6056.4,,
06/07/2019 ,6056.4,,
07/07/2019 ,6056.4,,
08/07/2019 ,6089.3,,
09/07/2019 ,6082.7,,
10/07/2019 ,6109.1,,
11/07/2019 ,6102.5,,
12/07/2019 ,6115.7,,
13/07/2019 ,6115.7,,
14/07/2019 ,6115.7,,
15/07/2019 ,6122.2,,
16/07/2019 ,6115.7,,
17/07/2019 ,6115.7,,
18/07/2019 ,6109.1,,
19/07/2019 ,6109.1,,
20/07/2019 ,6109.1,,
21/07/2019 ,6109.1,,
22/07/2019 ,6082.7,,
23/07/2019 ,6056.4,,
24/07/2019 ,6056.4,,
25/07/2019 ,6056.4,,
26/07/2019 ,6003.7,,
27/07/2019 ,6003.7,,
28/07/2019 ,6003.7,,
29/07/2019 ,6036.7,,
30/07/2019 ,6016.9,,
31/07/2019 ,6003.7,,
01/08/2019 ,5977.4,,
02/08/2019 ,5970.8,,
03/08/2019 ,5970.8,,
04/08/2019 ,5970.8,,
05/08/2019 ,5911.6,,
06/08/2019 ,5852.3,,
07/08/2019 ,5852.3,,
08/08/2019 ,5924.7,,
09/08/2019 ,5924.7,,
10/08/2019 ,5924.7,,
11/08/2019 ,5924.7,,
12/08/2019 ,5918.2,,
13/08/2019 ,5911.6,,
14/08/2019 ,5898.4,,
15/08/2019 ,5845.7,,
16/08/2019 ,6056.4,,
17/08/2019 ,6056.4,,
18/08/2019 ,6056.4,,
19/08/2019 ,5918.2,,
20/08/2019 ,5918.2,,
21/08/2019 ,5905,,
22/08/2019 ,5905,,
23/08/2019 ,5898.4,,
24/08/2019 ,5898.4,,
25/08/2019 ,5898.4,,
26/08/2019 ,5891.8,,
27/08/2019 ,5858.9,,
28/08/2019 ,5905,,
29/08/2019 ,5885.2,,
30/08/2019 ,6253.9,,
31/08/2019 ,6253.9,,
01/09/2019 ,6253.9,,
02/09/2019 ,6253.9,,
03/09/2019 ,6253.9,,
04/09/2019 ,6207.8,,
05/09/2019 ,6174.9,,
06/09/2019 ,6168.3,,
07/09/2019 ,6168.3,,
08/09/2019 ,6168.3,,
09/09/2019 ,6214.4,,
10/09/2019 ,6201.2,,
11/09/2019 ,6188.1,,
12/09/2019 ,6188.1,,
13/09/2019 ,6320.7,,
14/09/2019 ,6320.7,,
15/09/2019 ,6320.7,,
16/09/2019 ,6298.6,,
17/09/2019 ,6188.1,,
18/09/2019 ,6180.7,,
19/09/2019 ,6188.1,,
20/09/2019 ,6188.1,,
21/09/2019 ,6188.1,,
22/09/2019 ,6188.1,,
23/09/2019 ,6180.7,,
24/09/2019 ,6084.9,,
25/09/2019 ,6188.1,,
26/09/2019 ,6217.5,,
27/09/2019 ,6217.5,,
28/09/2019 ,6217.5,,
29/09/2019 ,6217.5,,
30/09/2019 ,6298.6,,
01/10/2019 ,6261.7,,
02/10/2019 ,6224.9,,
03/10/2019 ,6188.1,,
04/10/2019 ,6180.7,,
05/10/2019 ,6180.7,,
06/10/2019 ,6180.7,,
07/10/2019 ,6158.6,,
08/10/2019 ,6151.2,,
09/10/2019 ,6114.4,,
10/10/2019 ,6107,,
11/10/2019 ,6107,,
12/10/2019 ,6107,,
13/10/2019 ,6107,,
14/10/2019 ,6092.3,,
15/10/2019 ,6092.3,,
16/10/2019 ,6084.9,,
17/10/2019 ,6003.9,,
18/10/2019 ,6040.7,,
19/10/2019 ,6040.7,,
20/10/2019 ,6040.7,,
21/10/2019 ,6033.4,,
22/10/2019 ,5967.1,,
23/10/2019 ,5908.1,,
24/10/2019 ,5908.1,,
25/10/2019 ,5908.1,,
26/10/2019 ,5908.1,,
27/10/2019 ,5908.1,,
28/10/2019 ,5886,,
29/10/2019 ,5878.7,,
30/10/2019 ,5878.7,,
31/10/2019 ,5871.3,,
01/11/2019 ,5856.6,,
02/11/2019 ,5856.6,,
03/11/2019 ,5856.6,,
04/11/2019 ,5841.8,,
05/11/2019 ,5834.5,,
06/11/2019 ,5834.5,,
07/11/2019 ,5819.7,,
08/11/2019 ,5812.4,,
09/11/2019 ,5812.4,,
10/11/2019 ,5812.4,,
11/11/2019 ,5790.3,,
12/11/2019 ,5790.3,,
13/11/2019 ,5760.8,,
14/11/2019 ,5760.8,,
15/11/2019 ,5738.7,,
16/11/2019 ,5738.7,,
17/11/2019 ,5738.7,,
18/11/2019 ,5819.7,,
19/11/2019 ,5819.7,,
20/11/2019 ,5819.7,,
21/11/2019 ,5819.7,,
22/11/2019 ,5782.9,,
23/11/2019 ,5782.9,,
24/11/2019 ,5782.9,,
25/11/2019 ,5790.3,,
26/11/2019 ,5746.1,,
27/11/2019 ,5746.1,,
28/11/2019 ,5805,,
29/11/2019 ,5805,,
30/11/2019 ,5805,,
01/12/2019 ,5805,,
02/12/2019 ,5812.4,,
03/12/2019 ,5746.1,,
04/12/2019 ,5812.4,,
05/12/2019 ,5782.9,,
06/12/2019 ,5746.1,,
07/12/2019 ,5746.1,,
08/12/2019 ,5746.1,,
09/12/2019 ,5746.1,,
10/12/2019 ,5731.3,,
11/12/2019 ,5672.4,,
12/12/2019 ,5672.4,,
13/12/2019 ,5672.4,,
14/12/2019 ,5672.4,,
15/12/2019 ,5672.4,,
16/12/2019 ,5665,,
17/12/2019 ,5650.3,,
18/12/2019 ,5650.3,,
19/12/2019 ,5363,,
20/12/2019 ,5370.4,,
21/12/2019 ,5370.4,,
22/12/2019 ,5370.4,,
23/12/2019 ,5444,,
24/12/2019 ,5444,,
25/12/2019 ,5414.6,,
26/12/2019 ,5392.5,,
27/12/2019 ,5377.7,,
28/12/2019 ,5377.7,,
29/12/2019 ,5377.7,,
30/12/2019 ,5377.7,,
31/12/2019 ,5451.4,,
01/01/2020 ,5451.4,,
02/01/2020 ,5421.9,,
03/01/2020 ,5407.2,,
04/01/2020 ,5407.2,,
05/01/2020 ,5407.2,,
06/01/2020 ,5267.2,,
07/01/2020 ,5267.2,,
08/01/2020 ,5252.5,,
09/01/2020 ,5304.1,,
10/01/2020 ,5304.1,,
11/01/2020 ,5304.1,,
12/01/2020 ,5304.1,,
13/01/2020 ,5377.7,,
14/01/2020 ,5355.6,,
15/01/2020 ,5326.2,,
16/01/2020 ,5326.2,,
17/01/2020 ,5230.4,,
18/01/2020 ,5230.4,,
19/01/2020 ,5230.4,,
20/01/2020 ,5296.7,,
21/01/2020 ,5304.1,,
22/01/2020 ,5444,,
23/01/2020 ,5444,,
24/01/2020 ,5444,,
25/01/2020 ,5444,,
26/01/2020 ,5444,,
27/01/2020 ,5444,,
28/01/2020 ,5444,,
29/01/2020 ,5444,,
30/01/2020 ,5304.1,,
31/01/2020 ,5451.4,,
01/02/2020 ,5451.4,,
02/02/2020 ,5451.4,,
03/02/2020 ,5267.2,,
04/02/2020 ,5230.4,,
05/02/2020 ,5193.6,,
06/02/2020 ,5296.7,,
07/02/2020 ,5112.5,,
08/02/2020 ,5112.5,,
09/02/2020 ,5112.5,,
10/02/2020 ,5208.3,,
11/02/2020 ,5164.1,,
12/02/2020 ,5193.6,,
13/02/2020 ,5193.6,,
14/02/2020 ,5186.2,,
15/02/2020 ,5186.2,,
16/02/2020 ,5186.2,,
17/02/2020 ,5156.7,,
18/02/2020 ,5142,,
19/02/2020 ,5156.7,,
20/02/2020 ,5149.4,,
21/02/2020 ,5134.6,,
22/02/2020 ,5134.6,,
23/02/2020 ,5134.6,,
24/02/2020 ,4972.6,,
25/02/2020 ,5002,,
26/02/2020 ,5002,,
27/02/2020 ,5038.9,,
28/02/2020 ,5009.4,,
29/02/2020 ,5009.4,,
01/03/2020 ,5009.4,,
02/03/2020 ,5009.4,,
03/03/2020 ,5083.1,,
04/03/2020 ,5083.1,,
05/03/2020 ,5156.7,,
06/03/2020 ,5142,,
07/03/2020 ,5142,,
08/03/2020 ,5142,,
09/03/2020 ,4935.7,,
10/03/2020 ,5053.6,,
11/03/2020 ,4935.7,,
12/03/2020 ,4773.7,,
13/03/2020 ,4707.4,,
14/03/2020 ,4707.4,,
15/03/2020 ,4707.4,,
16/03/2020 ,4641,,
17/03/2020 ,4641,,
18/03/2020 ,4965.2,,
19/03/2020 ,4921,,
20/03/2020 ,4773.7,,
21/03/2020 ,4773.7,,
22/03/2020 ,4773.7,,
23/03/2020 ,4442.1,,
24/03/2020 ,4272.7,,
25/03/2020 ,4339,,
26/03/2020 ,4294.8,,
27/03/2020 ,4059.1,,
28/03/2020 ,4059.1,,
29/03/2020 ,4059.1,,
30/03/2020 ,3830.7,,
31/03/2020 ,3904.4,,
01/04/2020 ,4169.6,,
02/04/2020 ,4169.6,,
03/04/2020 ,4235.9,,
04/04/2020 ,4235.9,,
05/04/2020 ,4235.9,,
06/04/2020 ,4434.8,,
07/04/2020 ,4405.3,,
08/04/2020 ,4375.8,,
09/04/2020 ,4523.2,,
10/04/2020 ,4523.2,,
11/04/2020 ,4523.2,,
12/04/2020 ,4523.2,,
13/04/2020 ,4530.5,,
14/04/2020 ,4515.8,,
15/04/2020 ,4670.5,,
16/04/2020 ,4633.7,,
17/04/2020 ,4604.2,,
18/04/2020 ,4604.2,,
19/04/2020 ,4604.2,,
20/04/2020 ,4567.4,,
21/04/2020 ,4353.7,,
22/04/2020 ,4353.7,,
23/04/2020 ,4265.3,,
24/04/2020 ,4272.7,,
25/04/2020 ,4272.7,,
26/04/2020 ,4272.7,,
27/04/2020 ,4191.7,,
28/04/2020 ,4191.7,,
29/04/2020 ,4184.3,,
30/04/2020 ,4184.3,,
01/05/2020 ,4184.3,,
02/05/2020 ,4184.3,,
03/05/2020 ,4184.3,,
04/05/2020 ,4014.9,,
05/05/2020 ,4000.1,,
06/05/2020 ,4103.3,,
07/05/2020 ,4103.3,,
08/05/2020 ,4162.2,,
09/05/2020 ,4162.2,,
10/05/2020 ,4162.2,,
11/05/2020 ,4213.8,,
12/05/2020 ,4456.9,,
13/05/2020 ,4420,,
14/05/2020 ,4493.7,,
15/05/2020 ,4479,,
16/05/2020 ,4479,,
17/05/2020 ,4479,,
18/05/2020 ,4479,,
19/05/2020 ,4493.7,,
20/05/2020 ,4530.5,,
21/05/2020 ,4611.6,,
22/05/2020 ,4618.9,,
23/05/2020 ,4618.9,,
24/05/2020 ,4618.9,,
25/05/2020 ,4611.6,,
26/05/2020 ,4751.6,,
27/05/2020 ,4714.7,,
28/05/2020 ,4751.6,,
29/05/2020 ,4773.7,,
30/05/2020 ,4773.7,,
31/05/2020 ,4773.7,,
01/06/2020 ,5046.2,,
02/06/2020 ,5046.2,,
03/06/2020 ,5046.2,,
04/06/2020 ,5392.5,,
05/06/2020 ,5598.7,,
06/06/2020 ,5598.7,,
07/06/2020 ,5598.7,,
08/06/2020 ,5878.7,,
09/06/2020 ,5709.2,,
10/06/2020 ,5709.2,,
11/06/2020 ,5451.4,,
12/06/2020 ,5296.7,,
13/06/2020 ,5296.7,,
14/06/2020 ,5296.7,,
15/06/2020 ,5009.4,,
16/06/2020 ,5237.8,,
17/06/2020 ,5193.6,,
18/06/2020 ,5230.4,,
19/06/2020 ,5267.2,,
20/06/2020 ,5267.2,,
21/06/2020 ,5267.2,,
22/06/2020 ,5444,,
23/06/2020 ,5561.9,,
24/06/2020 ,5591.4,,
25/06/2020 ,5665,,
26/06/2020 ,5635.6,,
27/06/2020 ,5635.6,,
28/06/2020 ,5635.6,,
29/06/2020 ,5377.7,,
30/06/2020 ,5377.7,,
01/07/2020 ,5451.4,,
02/07/2020 ,5436.7,,
03/07/2020 ,5429.3,,
04/07/2020 ,5429.3,,
05/07/2020 ,5429.3,,
06/07/2020 ,5436.7,,
07/07/2020 ,5436.7,,
08/07/2020 ,5436.7,,
09/07/2020 ,5451.4,,
10/07/2020 ,5429.3,,
11/07/2020 ,5429.3,,
12/07/2020 ,5429.3,,
13/07/2020 ,5429.3,,
14/07/2020 ,5429.3,,
15/07/2020 ,5444,,
16/07/2020 ,5392.5,,
17/07/2020 ,5414.6,,
18/07/2020 ,5414.6,,
19/07/2020 ,5414.6,,
20/07/2020 ,5340.9,,
21/07/2020 ,5348.3,,
22/07/2020 ,5304.1,,
23/07/2020 ,5296.7,,
24/07/2020 ,4928.4,,
25/07/2020 ,4928.4,,
26/07/2020 ,4928.4,,
27/07/2020 ,4589.5,,
28/07/2020 ,4714.7,,
29/07/2020 ,4626.3,,
30/07/2020 ,4641,,
31/07/2020 ,4626.3,,
01/08/2020 ,4626.3,,
02/08/2020 ,4626.3,,
03/08/2020 ,4692.6,,
04/08/2020 ,4677.9,,
05/08/2020 ,4714.7,,
06/08/2020 ,4722.1,,
07/08/2020 ,4722.1,,
08/08/2020 ,4722.1,,
09/08/2020 ,4722.1,,
10/08/2020 ,4744.2,,
11/08/2020 ,4744.2,,
12/08/2020 ,4714.7,,
13/08/2020 ,4773.7,,
14/08/2020 ,4700,,
15/08/2020 ,4700,,
16/08/2020 ,4700,,
17/08/2020 ,4700,,
18/08/2020 ,4692.6,,
19/08/2020 ,4788.4,,
20/08/2020 ,4803.1,,
21/08/2020 ,4898.9,,
22/08/2020 ,4898.9,,
23/08/2020 ,4898.9,,
24/08/2020 ,4972.6,,
25/08/2020 ,4972.6,,
26/08/2020 ,4987.3,,
27/08/2020 ,5002,,
28/08/2020 ,5009.4,,
29/08/2020 ,5009.4,,
30/08/2020 ,5009.4,,
31/08/2020 ,4972.6,,
01/09/2020 ,5009.4,,
02/09/2020 ,5009.4,,
03/09/2020 ,5009.4,,
04/09/2020 ,5355.6,,
05/09/2020 ,5355.6,,
06/09/2020 ,5355.6,,
07/09/2020 ,5385.1,,
08/09/2020 ,5377.7,,
09/09/2020 ,5340.9,,
10/09/2020 ,5348.3,,
11/09/2020 ,5377.7,,
12/09/2020 ,5377.7,,
13/09/2020 ,5377.7,,
14/09/2020 ,5414.6,,
15/09/2020 ,5473.5,,
16/09/2020 ,5444,,
17/09/2020 ,5495.6,,
18/09/2020 ,5657.7,,
19/09/2020 ,5657.7,,
20/09/2020 ,5657.7,,
21/09/2020 ,5679.8,,
22/09/2020 ,5576.6,,
23/09/2020 ,5561.9,,
24/09/2020 ,5561.9,,
25/09/2020 ,5532.4,,
26/09/2020 ,5532.4,,
27/09/2020 ,5532.4,,
28/09/2020 ,5547.2,,
29/09/2020 ,5525.1,,
30/09/2020 ,5510.3,,
01/10/2020 ,5746.1,,
02/10/2020 ,5805,,
03/10/2020 ,5805,,
04/10/2020 ,5805,,
05/10/2020 ,5819.7,,
06/10/2020 ,5805,,
07/10/2020 ,5724,,
08/10/2020 ,5716.6,,
09/10/2020 ,5672.4,,
10/10/2020 ,5672.4,,
11/10/2020 ,5672.4,,
12/10/2020 ,5569.3,,
13/10/2020 ,5569.3,,
14/10/2020 ,5598.7,,
15/10/2020 ,5569.3,,
16/10/2020 ,5598.7,,
17/10/2020 ,5598.7,,
18/10/2020 ,5598.7,,
19/10/2020 ,5709.2,,
20/10/2020 ,5701.9,,
21/10/2020 ,5650.3,,
